_id,FID,DISPFACREG,FNAME,ONAME,FADDR,FMOO,FSOI,FROAD,FTUMNAME,FAMPNAME,FPROVNAME,OBJECT,STATUS,LAT,LNG,Last_update
15279,20730011025564,จ3-43(1)-110/56นฐ,บริษัท ทีเอบี อินโนเวชั่น จำกัด,บริษัท ทีเอบี อินโนเวชั่น จำกัด,NULL,1,NULL,NULL,นราภิรมย์,บางเลน,นครปฐม,ผลิตปรุงแต่ง และแบ่งบรรจุสารเคมีเกษตร สารกำจัดวัชพืช สารกำจัดศัตรูพืช เช่น ยาฆ่าแมลง ยาฆ่าหญ้า เป็นต้น เพิ่มการประกอบกิจการ ผสมและแบ่งบรรจุปุ๋ย ที่ไม่มีการใช้แอมโมเนียไนเตรต (Ammonium Nitrate) หรือโปแตสเซียมคลอเรต (Potassium Chlorate) ,ดำเนินกิจการ,13.9391439772811,100.243829069739,2023-04-18 21:00:05.000
15280,20730800225557,จ3-53(3)-2/55นฐ,บริษัท หิรัญ เอส. เสวี กรุ๊ปส์ จำกัด,บริษัท หิรัญ เอส. เสวี กรุ๊ปส์ จำกัด,50/3,9,NULL,-,ทัพหลวง,เมืองนครปฐม,นครปฐม,"ผลิตผลิตภัณฑ์ไฟเบอร์กล๊าส เช่น ถังใส่น้ำ, ถังบำบัดน้ำเสีย และอื่น ๆ",ดำเนินกิจการ,13.9193614074472,99.9846461253245,2023-04-18 21:00:05.000
15281,20730128025622,จ3-62-3/62นฐ,บริษัท อาไซเคะ อินดัสตรี จำกัด,บริษัท อาไซเคะ อินดัสตรี จำกัด,9/4,3,บางประแดงซอย 2,NULL,บ้านใหม่,สามพราน,นครปฐม,ผลิตจำหน่ายและติดตั้งกระจก อลูมิเนียม วงกบ บานประตู หน้าต่าง,ดำเนินกิจการ,13.6848780213485,100.22917108323,2023-04-18 21:00:05.000
15282,20720302525620,จ3-5(1)-8/62สพ,ห้างหุ้นส่วนจำกัด กลุ่มผู้เลี้ยงโคนมหนองหญ้าไซ,ห้างหุ้นส่วนจำกัด กลุ่มผู้เลี้ยงโคนมหนองหญ้าไซ ,565,13,NULL,NULL,หนองหญ้าไซ,หนองหญ้าไซ,สุพรรณบุรี,ทำนมพลาสเจอร์ไรส์บรรจุถุงพลาสติก,ดำเนินกิจการ,14.7733416488965,99.9011744944568,2023-04-18 21:00:05.000
15283,10741400125404,3-64(14)-1/40สค,บริษัท เอส.เอ็ม. เค. อินกอต โปรดักส์ จำกัด,บริษัท เอส.เอ็ม. เค. อินกอต โปรดักส์ จำกัด,129/5,2,กองพนันพล,เอกชัย,บางน้ำจืด,เมืองสมุทรสาคร,สมุทรสาคร,ผลิตอลูมิเนียมรูปพรรณและชิ้นส่วนอุปกรณ์อลูมิเนียม เช่น อลูมิเนียมฉาก ลวดอลูมิเนียม โคมไฟ,ดำเนินกิจการ,13.6053833333333,100.347883333333,2023-04-18 21:00:05.000
15284,10730007425614,3-105-74/61นฐ,บริษัท สามพรานรีไซเคิล จำกัด,บริษัท สามพรานรีไซเคิล จำกัด,158,7,NULL,NULL,สามพราน,สามพราน,นครปฐม,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ดำเนินกิจการ,13.7356157526672,100.220980839054,2023-04-18 21:00:05.000
15285,10650000125369,3-50(1)-1/36พล,บริษัท ทิปโก้แอสฟัลท์ จำกัด (มหาชน),บริษัท ทิปโก้แอสฟัลท์ จำกัด (มหาชน),271,15,บ้านวังกุ่ม,สายพิษณุโลก-บางระกำ,บางระกำ,บางระกำ,พิษณุโลก,"ผลิตยางมะตอยน้ำ(แอสฟัลท์อิมัลชั่น),คัดแยกแอสฟัลท์ โพลีเมอร์โมดิฟายแอสฟัลท์พรีมิกซ์และนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบหรือผลิตภัณฑ์ใหม่",ดำเนินกิจการ,16.75509,100.11886,2023-04-18 21:00:05.000
15286,91630092125628,ข3-29-1/62สป,บริษัท ศรีสินฟ้า แทนเนรี่ จำกัด,บริษัท ศรีสินฟ้า แทนเนรี่ จำกัด,231,6,NULL,NULL,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,ฟอกหนังสัตว์,ดำเนินกิจการ,13.528238,100.629125,2023-04-18 21:00:05.000
15287,20740600925611,จ3-84(1)-9/61สค,บริษัท วิถีไทย รีไฟน์นิ่ง จำกัด,บริษัท วิถีไทย รีไฟน์นิ่ง จำกัด,390/6,4,วปอ.11,เศรษฐกิจ 1,ท่าไม้,กระทุ่มแบน,สมุทรสาคร,ทำเครื่องประดับ และหลอมโลหะ เช่น ทองคำ เงิน แพลทินัม,ดำเนินกิจการ,13.675466,100.287865,2023-04-18 21:00:05.000
15288,20740004825623,จ3-78(2)-1/62สค,บริษัท ไพโอเนียร์มอเตอร์พาร์ท จำกัด,บริษัท ไพโอเนียร์มอเตอร์พาร์ท จำกัด,198/12,7,NULL,NULL,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,ผลิตอะไหล่รถจักรยานยนต์,ดำเนินกิจการ,13.70864,100.31716,2023-04-18 21:00:05.000
15289,20720005225627,จ3-60-2/62สพ,-,นายสมควร แซ่เหมา,59,4,NULL,NULL,ทะเลบก,ดอนเจดีย์,สุพรรณบุรี,หลอมหล่อโหละซึ่งมิใช่เหล็กหรือเหล็กกล้า,ดำเนินกิจการ,14.7059669016173,99.845374952447,2023-04-18 21:00:05.000
15290,10720128825636,3-9(3)-3/63สพ,ม้าขาวยั่งยืน,นายอภิพล โสภาศรีพันธ์,261,5,NULL,NULL,อู่ทอง,อู่ทอง,สุพรรณบุรี,ป่นหรือบด เมล็ดพืช หรือหัวพืช และทำความสะอาดเมล็ดพืช,ดำเนินกิจการ,14.3886001591763,99.8844461579455,2023-04-18 21:00:05.000
15291,20190285425638,จ3-58(1)-212/63สบ,บริษัท ยูนิค เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด (มหาชน),บริษัท ยูนิค เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด (มหาชน),"โฉนดที่ดินเลขที่ 26381,31203,31358,31337,48613",4,-,NULL,หนองแก,พระพุทธบาท,สระบุรี,ผลิตภัณฑ์คอนกรีตผสมเสร็จ,ดำเนินกิจการ,14.670185398782,100.7436524914,2023-04-18 21:00:05.000
