name,category,lat,lon,dist_nearest_station_km
บริษัท ออโรร่า เอ็กซ์ปอร์ต แอนด์ อิมปอร์ต จำกัด,Other manufacturing,14.56431,100.86965,7.393834978485926
บริษัท ทีทีวี คอนกรีต จำกัด,Cement/Quarry/Stone,14.59569,100.87658,9.37032368117234
บริษัท ทีเอ็ม เอ็นจิเนียริ่ง แอนด์ แมชชีนเนอรี่ จำกัด,Other manufacturing,14.58666,100.87561,8.628422463298476
ห้างหุ้นส่วนจำกัด ถาวรโชคชัย,Other manufacturing,14.53033,100.80673,12.850850456649349
บริษัท ทีพีทีเอส.ฟู๊ดแอนด์เบเวอร์เรจ จำกัด,Other manufacturing,14.5788228517884,100.7953821528,14.475119889405809
บริษัท โมลด์เมท จำกัด,Other manufacturing,14.57779,100.79325,14.70068344147332
บริษัท ห้าดาว แทรค จำกัด,Other manufacturing,14.57773,100.79323,14.707376657311938
บริษัท เอ.เอส.แมคเคมิคอล แอนด์ รีแฟคทอรี่ จำกัด,Cement/Quarry/Stone,14.56833,100.7854,15.84144915211408
ห้างหุ้นส่วนจำกัด เจ ดับบลิว เอ็นจิเนียริ่ง(1994),Other manufacturing,14.5571311,100.7815254,15.927537191581813
บริษัท เสาไห้ ไรซมิล จำกัด,Other manufacturing,14.54991,100.82644,11.036772477186773
บริษัท อุตสาหกรรมสหธัญญพืช จำกัด,Other manufacturing,14.54244,100.88159,5.108992577455419
บริษัท ทีเบลโก เซอร์วิส จำกัด,Other manufacturing,14.5273071,100.878879,5.078297964189044
บริษัท พีทีพี แทงค์ แอนด์ เทรลเลอร์ จำกัด,Other manufacturing,14.5256337,100.8737792,5.62668316881523
ห้างหุ้นส่วนจำกัด น้ำแข็งหลอดโบว์แดง,Other manufacturing,14.65968,101.20025,33.02192508668388
บริษัท สุขสมเกียรติขนส่ง(2004) จำกัด,Other manufacturing,14.6402838625888,101.164766118,28.643545650278195
องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย,Other manufacturing,14.63533,101.19545,31.422438231273063
ศูนย์รับน้ำนมดิบ (มิตรภาพ),Other manufacturing,14.63039,101.18498,30.17141486713502
สหกรณ์โคนมมวกเหล็ก จำกัด,Other manufacturing,14.663287,101.191431,32.363345156169046
บริษัท ราชาฟีดส์ จำกัด,Other manufacturing,14.6143176,101.1746021,28.481821857113875
บริษัท ริช อะโกร ซายน์ จำกัด,Other manufacturing,14.6453334,101.193604,31.6867513130124
บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),Cement/Quarry/Stone,14.63973,101.1325,25.54517443095298
บริษัท สหชัยธุรกิจก่อสร้าง 1993 จำกัด,Cement/Quarry/Stone,14.62953,101.17353,28.999338954528888
บริษัท ๙ ปฏิมากร จำกัด,Waste/Recycling,14.64305,101.1921,31.43422799615495
ศูนย์รับน้ำนมดิบว (คลองไทร),Other manufacturing,14.75456,101.2215,38.3565193020366
โรงงานผลิตอาหารสัตว์ สหกรณ์โคนมมวกเหล็ก จำกัด,Other manufacturing,14.755289,101.221556,38.37858971893356
สหกรณ์โคนมมวกเหล็ก จำกัด,Other manufacturing,14.75456,101.2215,38.3565193020366
สหกรณ์โคนมไทยมิลค์ จำกัด,Other manufacturing,14.91936,101.4292,65.28801441923633
บริษัท เกรท มิลค์ จำกัด,Other manufacturing,14.915,101.43074,65.24964560756257
กลุ่มเกษตรกรผู้เลี้ยงโคนม ที.เค,Other manufacturing,14.86247,101.44946,65.12071476443843
บริษัท ส่งเสริมผลิตภัณฑ์นม จำกัด,Other manufacturing,14.89465,101.43902,65.23338160460861
ศูนย์แปรรูปผลิตภัณฑ์นมผงและนมอัดเม็ด,Other manufacturing,14.9186777,101.4263251,64.97438012608785
บริษัท ฮอลแลนด์ มิลล์ จำกัด,Other manufacturing,14.9013978,101.4262914,64.23174867920117
สหกรณ์โคนมไทยมิลค์ จำกัด,Other manufacturing,14.91936,101.4292,65.28801441923633
สหกรณ์โคนมไทยมิลค์ จำกัด,Other manufacturing,14.9186777,101.4263251,64.97438012608785
-,Other manufacturing,14.88104,101.2754,48.49994728719285
-,Other manufacturing,14.88833,101.27803,49.11858808464627
บริษัท เกรท มิลค์ จำกัด,Other manufacturing,14.88307,101.27896,48.94307423979437
บริษัท กลุ่มพัฒนาโคนมซับสนุ่น จำกัด,Other manufacturing,14.8880137,101.275835,48.89282117269402
สมานพืชไร่,Other manufacturing,14.91004,101.28032,50.483046969329344
โรงงานอาหารสัตว์สงค์สะอาด,Other manufacturing,14.88315,101.2384,45.09134243083005
ห้างหุ้นส่วนจำกัด สำราญอาหารสัตว์,Other manufacturing,14.86684,101.27705,47.97640710960063
บริษัท โออิชิ เทรดดิ้ง จำกัด,Other manufacturing,14.7778443867017,101.115477462352,28.111801633963147
บริษัท เจริญโภคภัณฑ์โปรดิ๊วส จำกัด,Other manufacturing,14.76758,101.11717,27.88940599860717
บริษัท ศิลากาญจน์อุตสาหกรรม จำกัด,Cement/Quarry/Stone,14.7671921,101.1150219,27.6569946500044
มิตรวังม่วง,Other manufacturing,14.842,101.12378,32.16326780232004
บริษัท ซันฟู้ด อินเตอร์เนชั่นแนล จำกัด,Power/Energy,14.79746,101.11806,29.2270484703673
