date,station,pm25,pm10,aod_047,aod_055,evi,ndvi,temperature,wind_speed_10m,wind_speed_50m,wind_direction,relative_humidity,rainfall,surface_pressure,fire_count,dist_to_nearest_fire_km,month,day_of_week,dist_to_nearest_factory_km,dist_to_risk_factory_km,lat,lon,lst_c,dist_to_road_km,dist_to_nearest_facility_km,builtup_frac
2023-06-24,จุดตรวจวัดอากาศ-12,54.11,31.48,0.114,0.0855,0.35950000000000004,0.5641,30.24,3.71,5.73,307.0,66.61,5.24,100.37,0,,6,5,1.4454306941710107,1.4454306941710107,14.636086,100.8610166,,2.8087853252967894,1.4454306941710107,0.01922034558177453
2023-06-07,จุดตรวจวัดอากาศ-13,486.15,1664.11,,,0.30985,0.5279,26.0,3.71,5.44,203.9,88.47,18.64,97.05,1,57.12741174195402,6,2,0.15905892260348783,0.15905892260348783,14.6360004,101.1153643,30.930000000000007,0.05718386044651378,0.15905892260348783,0.26439619178464485
2023-06-07,จุดตรวจวัดอากาศ-14,16.68,3.38,0.435,0.33,0.46625,0.7695000000000001,26.0,3.71,5.44,203.9,88.47,18.64,97.05,0,,6,2,19.29561425210522,19.29561425210522,14.6352958,101.3709736,34.25000000000006,0.25573956210689025,19.29561425210522,0.0064692646504938296
2023-06-23,จุดตรวจวัดอากาศ-15,24.27,0.0,0.18933333333333335,0.14233333333333334,0.51625,0.74705,27.49,2.49,4.07,250.1,77.98,9.75,96.52,1,19.515018616213464,6,4,46.90069801076631,46.90069801076631,14.6347281,101.6271853,35.89000000000004,21.800254211216703,46.90069801076631,0.041109384010561675
2023-06-16,จุดตรวจวัดอากาศ-16,10.2,35.21,0.41500000000000004,0.315,0.29265,0.40205,29.53,3.03,4.53,210.6,74.76,4.66,100.35,1,17.166861773251963,6,4,20.530342936581874,20.530342936581874,14.3825713,100.6081436,,0.23012564189392695,20.530342936581874,0.2680737559387833
2023-06-15,จุดตรวจวัดอากาศ-17,21.5,64.19,,,0.36345,0.5436,29.99,3.1,4.67,210.9,70.33,0.15,100.4,1,31.408363557355816,6,3,0.761026221193126,0.761026221193126,14.3844954,100.8613155,34.25000000000006,2.503365697473218,0.761026221193126,0.26491968866996046
2023-06-23,จุดตรวจวัดอากาศ-18,20.04,72.27,0.2555,0.192,0.5589000000000001,0.77815,28.45,1.88,3.01,251.5,73.45,3.18,97.15,0,,6,4,2.448049067696314,2.448049067696314,14.3860999,101.1155996,31.310000000000002,2.167779050212726,2.448049067696314,0.0692502239471553
2023-06-23,จุดตรวจวัดอากาศ-19,16.4,112.46,,,0.3128,0.43475,28.45,1.88,3.01,251.5,73.45,3.18,97.15,4,38.79953875464718,6,4,29.331882828278793,29.331882828278793,14.3875364,101.3709222,25.680000000000007,13.495765229952616,29.331882828278793,0.0
2023-06-23,จุดตรวจวัดอากาศ-20,28.01,0.0,0.1015,0.0755,0.5633,0.8693000000000001,27.49,2.49,4.07,250.1,77.98,9.75,96.52,6,14.257579918439244,6,4,54.72235561449076,54.72235561449076,14.3888144,101.6273137,28.090000000000032,29.153888827971787,54.72235561449076,0.0
2023-06-24,จุดตรวจวัดอากาศ-21,11.66,78.18,0.168,0.125,0.2111,0.29505000000000003,30.15,3.94,6.23,305.3,68.81,3.7,100.59,0,,6,5,27.960944533569396,27.960944533569396,14.1373476,100.609559,,12.617110928271945,27.960944533569396,0.41535411125019595
2023-06-15,จุดตรวจวัดอากาศ-22,21.22,19.04,,,0.4592,0.673,29.73,3.06,4.73,212.8,73.0,0.15,100.65,1,28.03764345884299,6,3,14.846872285739515,14.846872285739515,14.1394116,100.8616033,32.13000000000005,15.509401291987333,14.846872285739515,0.030360684402614635
2023-06-24,จุดตรวจวัดอากาศ-23,12.97,83.0,0.2445,0.184,0.3068,0.6071500000000001,28.65,3.03,4.95,303.4,80.02,10.48,100.06,0,,6,5,23.23119402025186,23.23119402025186,14.1412008,101.1158438,32.01000000000005,12.225203981289502,23.23119402025186,0.028111193038797867
2023-06-24,จุดตรวจวัดอากาศ-24,13.32,0.0,0.07033333333333333,0.05266666666666667,0.43385,0.6506000000000001,28.65,3.03,4.95,303.4,80.02,10.48,100.06,4,49.91033292324561,6,5,40.97590021158416,40.97590021158416,14.142776,101.3708473,31.99000000000001,31.651639377091577,40.97590021158416,0.20972167758175078
2023-06-24,จุดตรวจวัดอากาศ-25,27.08,50.23,0.19433333333333336,0.14666666666666667,0.52435,0.7226,27.62,2.26,3.62,275.6,84.68,19.48,99.17,6,23.122046897932943,6,5,63.706155353886345,63.706155353886345,14.1444556,101.627387,29.850000000000023,48.55090439417802,63.706155353886345,0.0
2023-06-15,จุดตรวจวัดอากาศ-survey-0,18.21,6.27,,,0.52105,0.7201500000000001,26.86,2.91,4.57,210.5,80.73,0.45,97.18,1,50.79317690818878,6,3,0.4812205078503813,0.4812205078503813,14.5433117,100.9600049,,0.24084709412469216,0.4812205078503813,0.35393987255277115
2023-06-15,จุดตรวจวัดอากาศ-survey-1,21.51,101.89,,,0.37220000000000003,0.5729500000000001,26.86,2.91,4.57,210.5,80.73,0.45,97.18,1,60.9943159488518,6,3,1.5915657377295933,1.5915657377295933,14.6079647,101.0272849,,1.5355413427394666,1.5915657377295933,0.16981207567718434
2023-06-11,จุดตรวจวัดอากาศ-survey-2,29.51,42.34,,,0.5930000000000001,0.74805,26.57,3.81,5.67,215.3,81.57,7.14,96.93,0,,6,6,4.316646940778957,4.316646940778957,14.6718823,101.0938019,,0.01440958452191136,4.316646940778957,0.0
2023-06-11,จุดตรวจวัดอากาศ-survey-3,43.71,20.28,0.585,0.446,0.4086,0.5682,26.57,3.81,5.67,215.3,81.57,7.14,96.93,0,,6,6,6.036913082893432,6.036913082893432,14.7358435,101.1608927,,0.18969805356353647,6.036913082893432,0.0373902052233347
2023-06-11,จุดตรวจวัดอากาศ-survey-4,14.23,28.46,,,0.46180000000000004,0.7117,27.47,4.46,6.32,218.6,78.05,4.16,97.87,0,,6,6,10.761090251323134,10.761090251323134,14.8005454,101.2282952,35.99000000000001,0.7948000974318488,10.761090251323134,0.027204281470200247
2023-06-13,จุดตรวจวัดอากาศ-survey-5,23.16,13.35,0.215,0.162,0.45005,0.615,28.05,5.21,7.37,220.5,74.91,6.26,98.03,0,,6,1,16.495370836618626,16.495370836618626,14.8627756,101.2924572,32.64000000000004,1.304069804157069,16.495370836618626,0.013004393606729557
2023-06-13,จุดตรวจวัดอากาศ-survey-6,14.51,34.83,,,0.32675000000000004,0.51805,28.05,5.21,7.37,220.5,74.91,6.26,98.03,0,,6,1,25.19817891212408,25.19817891212408,14.9263062,101.3593601,33.14000000000004,3.5008018946142663,25.19817891212408,0.06536187504110974
